scenario,model,parameters,number_of_features,selected_features,numeric_features,categorical_features,train_rows,validation_rows,validation_MAE,validation_RMSE,validation_R2,is_best
top_features_without_G1_G2,RandomForestRegressor,n_estimators=100; max_depth=None; min_samples_leaf=5,10,"failures, reason, absences, school, higher, age, Fedu, health, Dalc, studytime",7,3,454,97,2.0277,2.7540,0.2284,Ne
top_features_without_G1_G2,RandomForestRegressor,n_estimators=100; max_depth=5; min_samples_leaf=1,10,"failures, reason, absences, school, higher, age, Fedu, health, Dalc, studytime",7,3,454,97,2.0061,2.7178,0.2486,Ne
top_features_without_G1_G2,RandomForestRegressor,n_estimators=100; max_depth=5; min_samples_leaf=2,10,"failures, reason, absences, school, higher, age, Fedu, health, Dalc, studytime",7,3,454,97,2.0197,2.7296,0.2421,Ne
top_features_without_G1_G2,RandomForestRegressor,n_estimators=100; max_depth=5; min_samples_leaf=5,10,"failures, reason, absences, school, higher, age, Fedu, health, Dalc, studytime",7,3,454,97,2.0164,2.7428,0.2347,Ne
top_features_without_G1_G2,RandomForestRegressor,n_estimators=100; max_depth=10; min_samples_leaf=1,10,"failures, reason, absences, school, higher, age, Fedu, health, Dalc, studytime",7,3,454,97,2.0303,2.7512,0.2300,Ne
top_features_without_G1_G2,RandomForestRegressor,n_estimators=100; max_depth=10; min_samples_leaf=2,10,"failures, reason, absences, school, higher, age, Fedu, health, Dalc, studytime",7,3,454,97,2.0843,2.7850,0.2110,Ne
top_features_without_G1_G2,RandomForestRegressor,n_estimators=100; max_depth=10; min_samples_leaf=5,10,"failures, reason, absences, school, higher, age, Fedu, health, Dalc, studytime",7,3,454,97,2.0234,2.7477,0.2320,Ne
top_features_without_G1_G2,RandomForestRegressor,n_estimators=200; max_depth=None; min_samples_leaf=1,10,"failures, reason, absences, school, higher, age, Fedu, health, Dalc, studytime",7,3,454,97,2.1094,2.8550,0.1708,Ne
top_features_without_G1_G2,RandomForestRegressor,n_estimators=200; max_depth=None; min_samples_leaf=2,10,"failures, reason, absences, school, higher, age, Fedu, health, Dalc, studytime",7,3,454,97,2.1112,2.8118,0.1958,Ne
top_features_without_G1_G2,RandomForestRegressor,n_estimators=200; max_depth=None; min_samples_leaf=5,10,"failures, reason, absences, school, higher, age, Fedu, health, Dalc, studytime",7,3,454,97,2.0340,2.7570,0.2268,Ne
top_features_without_G1_G2,RandomForestRegressor,n_estimators=200; max_depth=5; min_samples_leaf=1,10,"failures, reason, absences, school, higher, age, Fedu, health, Dalc, studytime",7,3,454,97,2.0014,2.7076,0.2542,Da
top_features_without_G1_G2,RandomForestRegressor,n_estimators=200; max_depth=5; min_samples_leaf=2,10,"failures, reason, absences, school, higher, age, Fedu, health, Dalc, studytime",7,3,454,97,2.0024,2.7108,0.2525,Ne
top_features_without_G1_G2,RandomForestRegressor,n_estimators=200; max_depth=5; min_samples_leaf=5,10,"failures, reason, absences, school, higher, age, Fedu, health, Dalc, studytime",7,3,454,97,2.0080,2.7395,0.2366,Ne
top_features_without_G1_G2,RandomForestRegressor,n_estimators=200; max_depth=10; min_samples_leaf=1,10,"failures, reason, absences, school, higher, age, Fedu, health, Dalc, studytime",7,3,454,97,2.0422,2.7673,0.2210,Ne
top_features_without_G1_G2,RandomForestRegressor,n_estimators=200; max_depth=10; min_samples_leaf=2,10,"failures, reason, absences, school, higher, age, Fedu, health, Dalc, studytime",7,3,454,97,2.0816,2.7787,0.2145,Ne
top_features_without_G1_G2,RandomForestRegressor,n_estimators=200; max_depth=10; min_samples_leaf=5,10,"failures, reason, absences, school, higher, age, Fedu, health, Dalc, studytime",7,3,454,97,2.0312,2.7522,0.2295,Ne
